id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
5h7IW9eHkKmxQLme8O96os,Jakhan Mayer Puja Kori,Swagatalakshmi Dasgupta,2,1998,0.597,0.193,7,-15.567,0.0418,0.914,0,0.127,0.368,119.991,240.107,3
7r0nbdb4RUwY8kyTY63Mrv,Alokmalar Jhalak Dekhe,Swagatalakshmi Dasgupta,1,1998,0.516,0.244,7,-14.889,0.0384,0.923,0.00000701,0.0792,0.274,143.936,286.787,1
45izyfvJXwlHdUTvJzNVlK,Aaj Amar Chhuti Holo,Swagatalakshmi Dasgupta,1,1998,0.503,0.118,4,-15.867,0.037,0.937,0,0.0901,0.145,135.046,299.387,4
45izyfvJXwlHdUTvJzNVlK,Aaj Amar Chhuti Holo,Swagatalakshmi Dasgupta,1,1998,0.503,0.118,4,-15.867,0.037,0.937,0,0.0901,0.145,135.046,299.387,4
4Y4MCmZTXLPussnMKfl0z7,Bujhi Elo Bujhi Elo,Srikanta Acharya,11,2000,0.399,0.255,7,-13.089,0.0291,0.811,0,0.106,0.38,93.339,125.099,4
6h8A7IniYXdAjducxaMrHs,Chokhe Amar Trishna,Srikanta Acharya,9,2000,0.276,0.115,6,-15.799,0.0368,0.904,0.00000742,0.332,0.24,118.581,333.402,5
0YVEgV7RFuc2mDfZDegZRP,Ebar Amay Daakle Doore,Srikanta Acharya,12,2000,0.611,0.359,6,-14.457,0.0325,0.577,0.0218,0.117,0.335,135.626,207.934,3
36luxPY1mPJA4gcroIwAjq,O Jonaki Ki Sukhe,Srikanta Acharya,25,2000,0.586,0.334,11,-14.225,0.0351,0.14,0,0.084,0.749,107.694,201.66,3
3DAxvKeBDLoLAiPdDbIf4o,Pran Chay Chokkhu,Srikanta Acharya,25,2000,0.667,0.295,0,-13.7,0.0303,0.9,0,0.146,0.763,112.998,158.872,4
3jvD09Uz0EZXSFxKlaBqEf,Prem Esechhilo Nishabda,Srikanta Acharya,33,2000,0.265,0.166,4,-14.501,0.0322,0.863,0,0.197,0.22,138.969,116.726,4
1vTXYKcR56JGpnL3z1p8AO,Tumi Kemon Kore,Srikanta Acharya,28,2000,0.386,0.207,10,-13.057,0.0286,0.808,0,0.125,0.335,87.722,221.729,4
6TWFr68z7HSH1skzs6Gs4n,Tomar Chokher Shitolpati,Lagnajita Chakraborty,41,2020,0.63,0.319,10,-7.204,0.0365,0.876,0,0.279,0.469,123.878,242,4
6xRQOk3Y4a6ddSFQ9yRSmm,Amader Kotha Gulo,Lagnajita Chakraborty,33,2020,0.686,0.44,10,-6.881,0.0296,0.849,0,0.118,0.411,128.042,330,4
0abhcfcTxHm7RJsoonnBt6,Ki Naamey Daaki,Lagnajita Chakraborty,24,2020,0.262,0.273,9,-10.184,0.0296,0.907,0,0.101,0.172,90.254,324.706,5
6wuc7o3A7e5UHpMUZxavWY,Mawmo Chitye,Lagnajita Chakraborty,23,2020,0.68,0.363,4,-8.016,0.0309,0.784,0,0.0921,0.43,127.432,189.176,3
4KHx5nSgDvDT8egxqVQWHQ,Songshoyo Timir,Jayati Chakraborty,12,2018,0.431,0.394,4,-8.514,0.0339,0.588,0,0.166,0.239,159.734,250.873,1
25Zp9hPo5EbDMITKSXosET,Ami Keboli Swapano,Jayati Chakraborty,12,2018,0.263,0.259,11,-10.257,0.0284,0.9,0,0.155,0.26,142.349,286.216,5
7FBZbPXw49hIY6QvHniRXt,Neel Anjonoghono,Jayati Chakraborty,29,2018,0.661,0.649,11,-6.68,0.0608,0.842,0.0108,0.083,0.521,149.924,372.514,3
396oHAqj37GTzXc97J6S2D,Akaash Bhora,Jayati Chakraborty,12,2018,0.403,0.254,11,-8.856,0.0279,0.897,0,0.115,0.149,71.919,354.302,3
0ByMm3P7ldCXROCW9mtfNB,Keno Cheye Achho Go Maa,Jayati Chakraborty,12,2018,0.368,0.251,11,-8.594,0.0381,0.929,0,0.0875,0.289,80.459,256.164,4
1YuVo5Xd6MqfqHFm8qR4Y5,Akash Amay Bhorlo,Jayati Chakraborty,19,2016,0.508,0.362,10,-6.776,0.0352,0.69,0,0.373,0.53,79.888,230.975,3
7zdVbV0biM52W0GBy87oXV,Amar Hiyar Majhe,Jayati Chakraborty,26,2016,0.382,0.284,9,-8.848,0.0352,0.884,0.00000266,0.0786,0.192,121.585,317.1,3
0lhZClOKavLqfOsjJ7MbfP,Amar Mukti Aaloy,Jayati Chakraborty,24,2016,0.396,0.347,9,-8.13,0.0304,0.607,0.00000109,0.0963,0.361,75.887,257.698,1
2zYZheYaMpagapUpaVmy2J,Amar Nai Ba Holo,Jayati Chakraborty,10,2016,0.401,0.434,10,-5.875,0.0559,0.665,0,0.216,0.457,68.08,248.555,4
6Co1Q4KJw6GlsJiNGIWMyU,Amar Poran Jaha Chay,Jayati Chakraborty,33,2016,0.375,0.182,6,-9.45,0.033,0.969,0,0.108,0.189,119.954,360.15,4
6S09PITjCjvUgYuOUkxkZ9,Bhalobese Sokhi,Jayati Chakraborty,39,2016,0.298,0.251,0,-9.061,0.033,0.972,0.0000167,0.103,0.102,154.974,272.066,3
4ydeno3LfmMUrQTYmFz9Oo,Kadale Tumi More,Jayati Chakraborty,11,2016,0.285,0.195,11,-10.317,0.0313,0.972,0,0.168,0.211,94.97,341.969,3
0LnyqwYZXjgLDjcFctTBL9,Ore Majhi,Jayati Chakraborty,13,2016,0.541,0.213,2,-9.554,0.0277,0.95,0,0.109,0.101,105.806,287.556,3
3kU3kAEj2AkoQSjHQhfAJ0,Pakhi Amar Nirer Pakhi,Jayati Chakraborty,10,2016,0.619,0.317,6,-8.849,0.0334,0.89,0.0000109,0.106,0.393,127.898,286.772,3
0TBuY2OZgTrGmotuU6rsqO,Potho Hara Tumi Pothik,Jayati Chakraborty,17,2016,0.627,0.426,11,-7.318,0.0287,0.852,0.0000124,0.117,0.479,124.032,207.987,3
14UwjN6EbhpzVTfA5OkemN,Bodhu Michhe Raag korona,Jayati Chakraborty,33,2021,0.494,0.31,0,-9.855,0.0369,0.959,0.0000661,0.18,0.263,76.308,233.298,3
2ziy10W0S5RXFmoJ2gaBjn,Tumi je esechho,Jayati Chakraborty,30,2021,0.419,0.226,8,-10.859,0.0432,0.942,0,0.115,0.463,119.84,172.253,3
5VnAaNi93sBYdCR9ng1w1L,Diboso Rajani Ami Jeno Kaar,Sohini Mukhopadhyay,5,2017,0.381,0.0355,4,-22.416,0.0379,0.938,0,0.076,0.132,108.483,360.411,3
1OogEwLmC1QQmNuDk4hBFp,Tomari Gehe Palichho Snehe,Sohini Mukhopadhyay,7,2017,0.305,0.0461,11,-23.246,0.0365,0.798,0,0.0838,0.177,120.499,359.941,1
02uTrUuwzlI7cfgMr5Pcg9,Premero Joare - Solo Version,Sohini Mukhopadhyay,3,2017,0.309,0.0309,4,-23.773,0.04,0.967,0.000338,0.0821,0.137,119.959,103.027,4
1GrRVTWbkGCaD4R4K9FKdh,Premero Joare,Sohini Mukhopadhyay,18,2017,0.519,0.458,9,-15.193,0.0387,0.3,0,0.297,0.904,165.08,124.395,3
2pOfzfzUTgOaTMF83tvKpc,Akash Amai Bhorlo Aloi,Sohini Mukhopadhyay,3,2017,0.442,0.0872,8,-16.059,0.0387,0.977,0,0.113,0.59,105.906,46.55,3
5I1rgnHrRHQn1YhiTcaGes,Ore Grihobasi,Sohini Mukhopadhyay,31,2017,0.615,0.345,10,-15.157,0.0298,0.324,0.00000296,0.418,0.673,109.993,208.875,4
1wXh1XdzHMm24DeXai2o6o,O Chnaad Tomai Dola Debe Ke,Sohini Mukhopadhyay,11,2017,0.518,0.307,9,-16.111,0.0331,0.314,0,0.155,0.668,156.021,170.527,3
3hOsjTA9m5lwPs4jZkx5Sr,Ekbar Phirte Dao,Sohini Mukhopadhyay,4,2017,0.609,0.346,11,-18.467,0.0404,0.554,0,0.0947,0.327,125.976,325.695,4
4OFYcdoyrUF2wR5CLvJ3V0,Arani Takhon - Theme Music,Sohini Mukhopadhyay,2,2017,0.451,0.604,0,-15.135,0.0386,0.00661,0.842,0.117,0.275,79.99,93.727,4
1EZzI3tQqKV9KGyuz6KqQw,Arani Takhon - Theme Song,Sohini Mukhopadhyay,2,2017,0.236,0.036,0,-25.118,0.0453,0.738,0.883,0.0921,0.0299,48.291,130.351,3
2I0XlHa1Z2DvpIBjXCyde3,Kobita to Sudhu Kabyo Noy,Sohini Mukhopadhyay,0,2017,0.686,0.214,7,-12.928,0.608,0.911,0,0.129,0,115.474,16.121,5
4UR5srVe5bVTbeC7ueyusf,Bhrun Bujhi Ebhabei Hoy,Sohini Mukhopadhyay,0,2017,0.396,0.215,1,-13.789,0.0895,0.099,0,0.185,0.453,151.988,19.091,3
1FjMxQXCbzCuWYaxhT0nVk,Otikranto Chhayapoth Paar Hoye,Sohini Mukhopadhyay,2,2017,0.556,0.0628,9,-15.72,0.247,0.386,0,0.138,0.605,161.299,38.602,1
5yBaALluGBn3qKCptpjAg7,Shubho Ei Ostakkhor,Sohini Mukhopadhyay,0,2017,0.64,0.052,10,-16.66,0.33,0.81,0,0.174,0.799,77.133,19.913,5
1KAoYBWbr6JC3FvjbPl03Q,Oster Hastakkhore Protibeshi Megh,Sohini Mukhopadhyay,0,2017,0,0.0281,0,-26.98,0,0.477,0,0.451,0,0,14.08,0
0JS0fZIiOcqmpW9Hyd7fUb,Gaye Abir Chhoriye Gelo,Sohini Mukhopadhyay,2,2017,0.627,0.223,4,-13.938,0.958,0.643,0,0.309,0.527,170.773,33.228,3
5FAypHXUMASUcjSWSOd3aw,Taar Anto Nai Go,Sohini Mukhopadhyay,2,2017,0.148,0.0559,0,-28.689,0.0376,0.501,0.864,0.107,0.094,140.04,74.789,5
