id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,popularity
02LJdBgyfq01WtSX05OJkc,Jalsaghar - Adrishyo Nagordolar Trip,Anupam Roy,0.1411764705882353,2023,0.5928205128205128,0.3352757489311133,0.9090909090909092,0.6675786230344243,0.0376826722338204,0.9437185041588456,2.2848360655737705e-05,0.0941328175370728,0.1279187817258883,0.6516637240255331,0.0681100868167445,0.6000000000000001,0.0016608996539792388
036Q1Xb7IMzavuIjbSU2aX,Noishobdo,Bangla Five,0.023529411764705882,2022,0.6912820512820514,0.4205228284575048,0.3636363636363636,0.641521461963451,0.0319415448851774,0.17587809661167,6.219262295081967e-06,0.0876853642811089,0.2243654822335025,0.5523654307573906,0.0802170098985849,0.8,0.0002768166089965388
04K08nBMizx2UQeZ4hDUQp,Janina,Sovvota,0.0,2017,0.5528205128205129,0.3565875188127111,1.0,0.5691935826604335,0.0320459290187891,0.8391957261681307,0.0017418032786885,0.1682785299806576,0.2944162436548223,0.4977500113178505,0.0606255640705715,0.8,0.0
06f2IXt2LBVrQzfFBtRw21,Ekhane Poth Amar,Sovvota,0.0,2017,0.5097435897435898,0.7168579144301994,0.3636363636363636,0.6333935401614961,0.091544885177453,0.0024908883524569,0.0029405737704918,0.0801633354824844,0.7126903553299492,0.6789352166236589,0.0494258030359999,0.8,0.0
06k6GyUDtvIgLb4YQftb9G,Na Bola Phul,Meghdol,0.3058823529411765,2019,0.673846153846154,0.2896076706134035,1.0,0.5545580110497238,0.0341336116910229,0.7216076009285762,0.0102459016393442,0.1543090479260692,0.6842639593908629,0.4251754266829644,0.0793389049316257,0.8,0.0035986159169550174
06zGGUSIzFlKhtIBaTnOOO,Maa Dake Khoka,Chandrabindoo,0.12941176470588237,2003,0.9230769230769232,0.6823531441457077,0.8181818181818182,0.7430407989800256,0.1607515657620042,0.1206016274819649,0.0009631147540983,0.0639372447883086,0.6690355329949238,0.452777400516094,0.0759900764259326,0.8,0.0015224913494809684
072krlEvVII8yldKfs2cgy,Jodi Bolo Hya,Chandrabindoo,0.29411764705882354,1998,0.555897435897436,0.3362905951159513,0.1818181818181818,0.7703463663408416,0.0312108559498956,0.7829142303269765,0.0,0.124220932731571,0.3319796954314721,0.627425415365114,0.0983419448833677,0.8,0.003460207612456747
07IzbmNu8DAjukHhTNOeaJ,Jodi Bhabo Pabe,Chandrabindoo,0.09411764705882353,2005,0.4800000000000001,0.9177974590281224,0.3636363636363636,0.7810242243943902,0.0755741127348643,0.0019883749967324,0.0002889344262295,0.0611433483773909,0.4284263959390862,0.8776857259269321,0.0610727525365378,0.8,0.0011072664359861588
07qgJazJQyknsbmuJZDL6N,Bhondo,Oblique,0.27058823529411763,2018,0.4841025641025641,0.7970307630324011,1.0,0.839539949001275,0.037473903966597,0.3658281450755655,3.770491803278688e-06,0.5282613367719751,0.3492385786802029,0.54364163158133,0.0774592024063911,0.8,0.0031833910034602068
082QypyxxyoVU0rRSo4Nkm,Shesh Prohor,Balam,0.0,2017,0.4830769230769231,0.9106935357342564,0.3636363636363636,0.7778633659158521,0.1002087682672234,0.6190948763607597,0.0013627049180327,0.0647969052224371,0.5827411167512689,0.6023178957852325,0.079684103045705,0.8,0.0
08IgjdJ0rCy1pAm2N5VLSZ,Bondhurey,Muza,0.4235294117647059,2018,0.6225641025641027,0.6549522971550817,0.4545454545454546,0.7808648533786656,0.0854906054279749,0.2381897527215193,0.0,0.1650548033526757,0.6802030456852792,0.4534293087056906,0.0531090785360578,0.8,0.004982698961937716
0a2cxKc5iJJZ8qFEPYg2yr,Utshorgo,Aftermath,0.5176470588235295,2021,0.4974358974358975,0.810223763435295,0.0909090909090909,0.720835104122397,0.0418580375782881,0.0010436498879701,0.0006844262295081,0.0995056952503761,0.4192893401015228,0.6245189913531622,0.0982300751241754,0.8,0.0060899653979238745
0A8EYRX6C8yP2pvexZbgAu,Rokto,Bangla Five,0.011764705882352941,2022,0.5528205128205129,0.8589363803075187,0.8181818181818182,0.8145186995325118,0.0903966597077244,0.0309532448206978,0.0,0.2198581560283688,0.3390862944162436,0.5974240572230523,0.0792252917476148,0.8,0.0001384083044982694
0aGklYNgdWiQfeNxoqN1Sc,Atit Mone Porey Kromosho,Balam,0.023529411764705882,2017,0.474871794871795,0.7239618377240654,0.6363636363636364,0.780678920526987,0.038830897703549,0.6783914523362615,1.956967213114754e-05,0.6389426176660219,0.4131979695431471,0.5658291457286433,0.0909939904146503,0.8,0.0002768166089965388
0ajS0KCtUyW7iWf6ozjaiy,Deshlai Baksho,Anupam Roy,0.09411764705882353,2014,0.7764102564102565,0.7655705313024233,0.8181818181818182,0.7057745431364216,0.0362212943632567,0.003043653043754,0.0183401639344262,0.0321298087255534,0.7969543147208121,0.5613291683643443,0.0616553469967473,0.8,0.0011072664359861588
0apG1ss6Igy8IJb7ieltBc,Gaibona,Bassbaba Sumon,0.47058823529411764,2007,0.7005128205128206,0.7107688373211715,0.0,0.7879568635784107,0.033089770354906,0.1145714672132698,0.0001157786885245,0.1768751343219428,0.3472081218274112,0.3620942550590792,0.0828745704637103,0.8,0.005536332179930795
0ATIgtOb90L93EpbGclKm4,Shobar Jonne Tumi,Bassbaba Sumon,0.17647058823529413,2007,0.6287179487179488,0.6305959887189698,0.0,0.7431204844878878,0.0385177453027139,0.001777319387328,4.682377049180328e-05,0.084461637653127,0.4172588832487309,0.6335234732219657,0.0800426674167267,0.8,0.002076124567474048
