id,title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,popularity
02LJdBgyfq01WtSX05OJkc,Jalsaghar - Adrishyo Nagordolar Trip,Anupam Roy,0.6109936575052853,0.337674563125849,0.9090909090909092,0.7465617109757909,0.0376826722338204,0.943713450806712,2.332635983263598e-05,0.1006325474410581,0.1297631307929969,0.6828169174430297,0.2904885242651068,0.6000000000000001,0.2982456140350877
036Q1Xb7IMzavuIjbSU2aX,Noishobdo,Bangla Five,0.7124735729386893,0.4235315642021278,0.3636363636363636,0.7174216545373533,0.0319415448851774,0.1758041010982812,6.349372384937239e-06,0.0937320299022426,0.2276004119464469,0.5787716069293968,0.3421243741634858,0.8,0.1052631578947368
04K08nBMizx2UQeZ4hDUQp,Janina,Sovvota,0.5697674418604651,0.3591388133949186,1.0,0.6365364622010992,0.0320459290187891,0.8391812880191768,0.0017782426778242,0.1799884991374353,0.2986611740473738,0.5215452630780031,0.2585671442026471,0.8,0.0175438596491228
06f2IXt2LBVrQzfFBtRw21,Ekhane Poth Amar,Sovvota,0.5253699788583509,0.7219868536577637,0.3636363636363636,0.7083320956482995,0.091544885177453,0.0024013249049586,0.0030020920502092,0.085681426106958,0.7229660144181257,0.7113921408648464,0.2108003271699796,0.8,0.0175438596491228
06k6GyUDtvIgLb4YQftb9G,Na Bola Phul,Meghdol,0.6945031712473573,0.2916797411206995,1.0,0.6201693153126393,0.0341336116910229,0.7215826048831998,0.0104602510460251,0.1650373778033352,0.6941297631307931,0.4455012048649981,0.3383792693203787,0.8,0.5087719298245614
06zGGUSIzFlKhtIBaTnOOO,Maa Dake Khoka,Chandrabindoo,0.9513742071881608,0.6872352103649844,0.8181818181818182,0.8309520273280856,0.1607515657620042,0.1205226688548732,0.0009832635983263,0.0683151236342725,0.678681771369722,0.4744227083847219,0.3240965647152134,0.8,0.2456140350877192
072krlEvVII8yldKfs2cgy,Jodi Bolo Hya,Chandrabindoo,0.572938689217759,0.3386966702815189,0.1818181818181818,0.8614881924847765,0.0312108559498956,0.7828947388258888,0.0,0.1328349626221966,0.3367662203913492,0.6574198812211829,0.4194269568234769,0.8,0.4912280701754385
07IzbmNu8DAjukHhTNOeaJ,Jodi Bhabo Pabe,Chandrabindoo,0.4947145877378435,0.9243640704804212,0.3636363636363636,0.873429377691965,0.0755741127348643,0.0018987664300185,0.0002949790794979,0.0653248993674525,0.4346035015447992,0.9196440430336034,0.2604743964705299,0.8,0.175438596491228
07qgJazJQyknsbmuJZDL6N,Bhondo,Oblique,0.4989429175475687,0.8027333189556928,1.0,0.9388682608049904,0.037473903966597,0.3657712046256286,3.849372384937238e-06,0.5652673950546291,0.3542739443872296,0.5696307610572452,0.3303623655380954,0.8,0.5087719298245614
082QypyxxyoVU0rRSo4Nkm,Shesh Prohor,Balam,0.4978858350951374,0.9172093203907312,0.3636363636363636,0.8698945492351107,0.1002087682672234,0.6190606759954251,0.0013912133891213,0.0692351926394479,0.5911431513903193,0.6311120809062102,0.3398515342289198,0.8,0.0175438596491228
08IgjdJ0rCy1pAm2N5VLSZ,Bondhurey,Muza,0.7875264270613107,0.7250531751247737,0.4545454545454546,0.9083320956482994,0.1795407098121085,0.2260599485922885,3.9853556485355646e-06,0.085681426106958,0.7538619979402678,0.5027085744644517,0.2305606503742626,0.8,0.7017543859649122
0a2cxKc5iJJZ8qFEPYg2yr,Utshorgo,Aftermath,0.5126849894291754,0.8160207119794025,0.0909090909090909,0.8061191148076639,0.0418580375782881,0.0009539564971312,0.0006987447698744,0.1063829787234042,0.4253347064881565,0.6543745137847939,0.4189498339364497,0.8,0.8070175438596491
0A8EYRX6C8yP2pvexZbgAu,Rokto,Bangla Five,0.5697674418604651,0.8650818554515618,0.8181818181818182,0.910886677558295,0.0903966597077244,0.0308662369255643,0.0,0.2351926394479586,0.3439752832131823,0.6259842893193935,0.3378947107519952,0.8,0.0350877192982456
0aGklYNgdWiQfeNxoqN1Sc,Atit Mone Porey Kromosho,Balam,0.4894291754756871,0.7291416037474536,0.6363636363636364,0.8730432199613842,0.038830897703549,0.6783625760383537,1.9979079497907948e-05,0.6837262794709602,0.4191555097837281,0.592878963246874,0.3880880384672582,0.8,0.087719298245614
0ajS0KCtUyW7iWf6ozjaiy,Deshlai Baksho,Anupam Roy,0.8002114164904862,0.7710479971299231,0.8181818181818182,0.7892766968661815,0.0362212943632567,0.0029541392273927,0.0187238493723849,0.0342725704427832,0.8084449021627189,0.5881638616397549,0.2629591533237495,0.8,0.1929824561403508
0apG1ss6Igy8IJb7ieltBc,Gaibona,Bassbaba Sumon,0.7219873150105709,0.7158542107237439,0.0,0.8811822367443933,0.033089770354906,0.1144919671555924,0.00011820083682,0.1891891891891892,0.3522142121524202,0.3794043982315997,0.3534588311108907,0.8,0.7017543859649122
0ATIgtOb90L93EpbGclKm4,Shobar Jonne Tumi,Bassbaba Sumon,0.6479915433403806,0.6351077454258149,0.0,0.8310411406505273,0.0385177453027139,0.0016876918705437,4.780334728033473e-05,0.0902817711328349,0.423274974253347,0.6638094605620173,0.341380806027859,0.8,0.2982456140350877
0b2xtRnzcYer5OVu9umziP,Dana Vanga Pakhi’r Gaan,JOler gaan,0.4788583509513742,0.3703819921072885,0.1818181818181818,0.721134709639091,0.0379958246346555,0.4894005894608864,2.2175732217573222e-05,0.0,0.4449021627188466,0.5820067168851868,0.6901799434888217,0.6000000000000001,0.1929824561403508
