id,title,artist,popularity,year,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature
3EPdP1idN0AmqvwRJDgEit,Ruper Maiya (Bangla Song),Mamun,Kind of Popular,2013,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
7tYPyzSYZZVDy587l4o6el,Krishno Ailo,Kala Miah,Kind of Popular,2010,High-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
65zp0aZPGMojdlAULZSl5a,Gaye holud,Mustafa,Kind of Popular,2012,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
5TdjPoyvjud4DKXaS3SX60,Krishno,Kaya,Kind of Popular,2003,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
4ccxaA9rHNLDeAhzdm6mwk,Tomake Chere Ami,Habib Wahid,Popular,2014,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
5wb69Zcucs14mlSOxO5kRi,Komola,Ankita Bhattacharyya,Not Popular,2021,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Medium,Medium,Simple
6zayDYwIYVYnRO51zRX0ch,LAL SHAREE,Mithun Saha,Kind of Popular,2021,No-dance,Low Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Fast,Medium,Simple
7BdJ3tEMj4zI1tdOkZ8ogD,Deho Ghori,Shami Sattar,Kind of Popular,2014,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Fast,Long,Simple
7a8wzhOxepB6IZfnwPqwn9,Mon Amar Deho Ghori,Nashid,Kind of Popular,2017,Mid-dance,Low Energy,Enharmonic,Normal,No Speech,Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
5Qh97sTfmbtql8o01okboD,Kemoney Vulibo Ami,Kaya,Kind of Popular,2003,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
39GKVgj6GEgxMbSWWJ1iww,Folk Mashup,DJ Rahat,Not Popular,2019,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Long,Simple
1X7izzcgZyKDGEkPIcaLG6,Monta Amar,F. A. Sumon,Kind of Popular,2018,No-dance,High Energy,Non-enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Positive,Fast,Medium,Simple
0e4lA0A72ACmsTES6gAOL7,Shona Bonde,Sharif Uddin,Kind of Popular,2005,Mid-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Medium,Simple
1TiknlRxQusZGR66orLkeq,Nagor shyam,Mustafa,Not Popular,2012,Mid-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Long,Simple
4kBbzqZTDuhMSgATn3Oiz6,O Bondhu Lal Golapi,Sharif Uddin,Kind of Popular,2007,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Long,Simple
1c8EEFpcsIKGsP1PFAEHwu,Diwana,Sharif Uddin,Kind of Popular,2007,High-dance,High Energy,Non-enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Medium,Long,Simple
2LfD7iG6edRROzb2uXVXf8,Bhulbo Kemoney,Nish,Kind of Popular,2020,No-dance,High Energy,Enharmonic,Loud,No Speech,Non-Acoustic,Vocal,Recorded,Positive,Slow,Short,Simple
7AsTUsWVxoRBXMSNZptlcV,Maa Baba,Nish,Kind of Popular,2019,No-dance,High Energy,Enharmonic,Loud,No Speech,Acoustic,Vocal,Recorded,Negative,Slow,Medium,Simple
